2025-06-11T18:11:09.288180Z [warning  ] No state was found, complete import.
2025-06-11T18:11:09.551360Z [info     ] 2025-06-12 02:11:09,551 Beginning full_table sync of 'main-JC-202505-citibike-tripdata'... cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.551683Z [info     ] 2025-06-12 02:11:09,551 Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.715125Z [info     ] 2025-06-12 02:11:09,714 | INFO     | target-bigquery      | Using thread-based parallelism cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:09.715499Z [info     ] 2025-06-12 02:11:09,714 | INFO     | target-bigquery      | Target 'target-bigquery' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:09.715747Z [info     ] 2025-06-12 02:11:09,715 | INFO     | target-bigquery      | Initializing 'target-bigquery' target sink... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:09.715891Z [info     ] 2025-06-12 02:11:09,715 | INFO     | target-bigquery      | Initializing target sink for stream 'main-JC-202505-citibike-tripdata'... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:09.735867Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'varchar' of column 'ride_id' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.736123Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.736245Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'varchar' of column 'rideable_type' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.736347Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
